run,metric,total,ratio
deepsjeng-config1,ipc,n/a,1.89221
deepsjeng-config1,bp_on_path_mispredict,40133,2.756%
deepsjeng-config1,op_issued,12081158,12081158
exchange2-config1,ipc,n/a,2.49009
exchange2-config1,bp_on_path_mispredict,22758,1.354%
exchange2-config1,op_issued,11266854,11266854
leela_s_base-config1,ipc,n/a,1.54311
leela_s_base-config1,bp_on_path_mispredict,84966,5.296%
leela_s_base-config1,op_issued,12308554,12308554
mcf_s_base-config1,ipc,n/a,0.81686
mcf_s_base-config1,bp_on_path_mispredict,24507,0.960%
mcf_s_base-config1,op_issued,11969078,11969078
omnetpp-config1,ipc,n/a,1.31269
omnetpp-config1,bp_on_path_mispredict,23596,1.136%
omnetpp-config1,op_issued,12848474,12848474
perlbench_s_base-config1,ipc,n/a,1.10431
perlbench_s_base-config1,bp_on_path_mispredict,21477,1.044%
perlbench_s_base-config1,op_issued,12093052,12093052
sgcc_base-config1,ipc,n/a,1.19698
sgcc_base-config1,bp_on_path_mispredict,2932,0.145%
sgcc_base-config1,op_issued,13290986,13290986
specrand_i-config1,ipc,n/a,2.86089
specrand_i-config1,bp_on_path_mispredict,4199,0.201%
specrand_i-config1,op_issued,11935414,11935414
x264-config1,ipc,n/a,1.70390
x264-config1,bp_on_path_mispredict,57,0.005%
x264-config1,op_issued,12413432,12413432
xalancbmk_s_base-config1,ipc,n/a,1.01623
xalancbmk_s_base-config1,bp_on_path_mispredict,7956,0.312%
xalancbmk_s_base-config1,op_issued,12259584,12259584
deepsjeng-config2,ipc,n/a,1.27545
deepsjeng-config2,bp_on_path_mispredict,40207,2.761%
deepsjeng-config2,op_issued,12081114,12081114
exchange2-config2,ipc,n/a,1.83926
exchange2-config2,bp_on_path_mispredict,23042,1.371%
exchange2-config2,op_issued,11266929,11266929
leela_s_base-config2,ipc,n/a,1.00237
leela_s_base-config2,bp_on_path_mispredict,85091,5.303%
leela_s_base-config2,op_issued,12308603,12308603
mcf_s_base-config2,ipc,n/a,0.69628
mcf_s_base-config2,bp_on_path_mispredict,24427,0.957%
mcf_s_base-config2,op_issued,11969145,11969145
omnetpp-config2,ipc,n/a,1.05798
omnetpp-config2,bp_on_path_mispredict,23532,1.133%
omnetpp-config2,op_issued,12848489,12848489
perlbench_s_base-config2,ipc,n/a,0.87250
perlbench_s_base-config2,bp_on_path_mispredict,21344,1.038%
perlbench_s_base-config2,op_issued,12093208,12093208
sgcc_base-config2,ipc,n/a,0.95467
sgcc_base-config2,bp_on_path_mispredict,2953,0.146%
sgcc_base-config2,op_issued,13291170,13291170
specrand_i-config2,ipc,n/a,2.11368
specrand_i-config2,bp_on_path_mispredict,4196,0.201%
specrand_i-config2,op_issued,11935503,11935503
x264-config2,ipc,n/a,0.85263
x264-config2,bp_on_path_mispredict,62,0.005%
x264-config2,op_issued,12413432,12413432
xalancbmk_s_base-config2,ipc,n/a,0.87792
xalancbmk_s_base-config2,bp_on_path_mispredict,7990,0.314%
xalancbmk_s_base-config2,op_issued,12259584,12259584
